Weather_ID,Weather_Key 
8691,10/29/2016 15:51
8692,10/29/2016 16:51
8693,10/29/2016 17:51
8694,10/29/2016 18:51
8695,10/29/2016 19:51
8696,10/29/2016 20:51
8697,10/29/2016 21:51
8698,10/29/2016 22:51
8699,10/29/2016 23:51
8700,10/30/2016 0:51
8701,10/30/2016 1:51
8702,10/30/2016 2:51
8703,10/30/2016 3:51
8704,10/30/2016 4:51
8705,10/30/2016 5:51
8706,10/30/2016 6:51
8707,10/30/2016 7:51
8708,10/30/2016 8:51
8709,10/30/2016 9:51
8710,10/30/2016 10:51
8711,10/30/2016 11:51
8712,10/30/2016 12:51
8713,10/30/2016 13:51
8714,10/30/2016 14:51
8715,10/30/2016 15:51
8716,10/30/2016 16:35
8717,10/30/2016 16:42
8718,10/30/2016 16:53
8719,10/30/2016 16:56
8720,10/30/2016 17:51
8721,10/30/2016 18:04
8722,10/30/2016 18:12
8723,10/30/2016 18:17
8724,10/30/2016 18:25
8725,10/30/2016 18:51
8726,10/30/2016 19:51
8727,10/30/2016 20:51
8728,10/30/2016 21:07
8729,10/30/2016 21:51
8730,10/30/2016 22:23
8731,10/30/2016 22:37
8732,10/30/2016 22:51
8733,10/30/2016 23:01
8734,10/30/2016 23:51
8735,10/31/2016 0:00
8736,10/31/2016 0:33
8737,10/31/2016 0:51
8738,10/31/2016 1:20
8739,10/31/2016 1:51
8740,10/31/2016 2:15
8741,10/31/2016 2:51
8742,10/31/2016 3:51
8743,10/31/2016 4:51
8744,10/31/2016 5:51
8745,10/31/2016 6:51
8746,10/31/2016 7:51
8747,10/31/2016 8:51
8748,10/31/2016 9:51
8749,10/31/2016 10:51
8750,10/31/2016 11:51
8751,10/31/2016 12:51
8752,10/31/2016 13:51
8753,10/31/2016 14:51
8754,10/31/2016 15:51
8755,10/31/2016 16:51
8756,10/31/2016 17:51
8757,10/31/2016 18:51
8758,10/31/2016 19:51
8759,10/31/2016 20:51
8760,10/31/2016 21:51
8761,10/31/2016 22:51
8762,10/31/2016 23:51
8763,11/1/2016 0:51
8764,11/1/2016 1:51
8765,11/1/2016 2:51
8766,11/1/2016 3:51
8767,11/1/2016 4:51
8768,11/1/2016 5:51
8769,11/1/2016 6:51
8770,11/1/2016 7:51
8771,11/1/2016 8:51
8772,11/1/2016 9:51
8773,11/1/2016 10:51
8774,11/1/2016 11:51
8775,11/1/2016 12:51
8776,11/1/2016 13:51
8777,11/1/2016 14:51
8778,11/1/2016 15:51
8779,11/1/2016 16:51
8780,11/1/2016 17:51
8781,11/1/2016 18:51
8782,11/1/2016 19:51
8783,11/1/2016 20:51
8784,11/1/2016 21:51
8785,11/1/2016 22:51
8786,11/1/2016 23:51
8787,11/2/2016 0:51
8788,11/2/2016 1:51
8789,11/2/2016 2:00
8790,11/2/2016 2:44
8791,11/2/2016 2:51
8792,11/2/2016 2:57
8793,11/2/2016 3:51
8794,11/2/2016 4:51
8795,11/2/2016 5:51
8796,11/2/2016 6:51
8797,11/2/2016 7:51
8798,11/2/2016 8:51
8799,11/2/2016 9:51
8800,11/2/2016 10:51
8801,11/2/2016 11:51
8802,11/2/2016 12:51
8803,11/2/2016 13:51
8804,11/2/2016 14:51
8805,11/2/2016 15:51
